seed,Vth,OffCurrent,OnCurrent,OnOffRatio,Weff
10,0.363932,6.09496e-12,3.40318e-05,5.58360e+06,52
11,0.362804,6.16222e-12,3.40041e-05,5.51816e+06,52
12,0.363857,6.52589e-12,3.41037e-05,5.22591e+06,52
13,0.358188,7.13009e-12,3.41829e-05,4.79417e+06,52
14,0.364295,5.21078e-12,3.39194e-05,6.50948e+06,52
15,0.367555,5.45007e-12,3.39837e-05,6.23547e+06,52
16,0.367444,4.39287e-12,3.39112e-05,7.71960e+06,52
17,0.36708,5.60058e-12,3.41607e-05,6.09949e+06,52
18,0.376168,4.46996e-12,3.38131e-05,7.56452e+06,52
19,0.367436,5.74891e-12,3.42699e-05,5.96111e+06,52
20,0.366049,6.39758e-12,3.40615e-05,5.32411e+06,52
21,0.361746,7.09447e-12,3.42117e-05,4.82231e+06,52
22,0.362097,5.71441e-12,3.40658e-05,5.96139e+06,52
23,0.361839,5.73952e-12,3.40844e-05,5.93854e+06,52
24,0.359789,6.74212e-12,3.43138e-05,5.08947e+06,52
25,0.364645,6.09723e-12,3.4162e-05,5.60286e+06,52
26,0.36406,5.41123e-12,3.41323e-05,6.30768e+06,52
27,0.367932,5.81428e-12,3.39965e-05,5.84707e+06,52
28,0.355518,8.57086e-12,3.41835e-05,3.98834e+06,52
29,0.361952,6.08344e-12,3.40758e-05,5.60139e+06,52
30,0.367645,4.59805e-12,3.38818e-05,7.36872e+06,52
31,0.364856,5.9659e-12,3.39877e-05,5.69699e+06,52
32,0.362069,6.10351e-12,3.41831e-05,5.60057e+06,52
33,0.354705,8.49502e-12,3.41425e-05,4.01912e+06,52
34,0.372626,4.06784e-12,3.39361e-05,8.34253e+06,52
35,0.362584,6.54172e-12,3.40714e-05,5.20832e+06,52
36,0.359501,7.40206e-12,3.41962e-05,4.61983e+06,52
37,0.361046,6.30333e-12,3.40627e-05,5.40392e+06,52
38,0.368096,5.52775e-12,3.40796e-05,6.16519e+06,52
39,0.371866,4.14796e-12,3.38897e-05,8.17021e+06,52
40,0.362976,5.76139e-12,3.4118e-05,5.92183e+06,52
41,0.365946,6.06404e-12,3.40832e-05,5.62054e+06,52
42,0.368463,4.38842e-12,3.38173e-05,7.70604e+06,52
43,0.356471,8.49967e-12,3.42837e-05,4.03354e+06,52
44,0.3674,4.83308e-12,3.39415e-05,7.02274e+06,52
45,0.369534,6.15928e-12,3.41456e-05,5.54377e+06,52
46,0.364614,6.94322e-12,3.40875e-05,4.90947e+06,52
47,0.365377,5.86032e-12,3.41528e-05,5.82780e+06,52
48,0.355866,7.64625e-12,3.4048e-05,4.45290e+06,52
49,0.366931,4.70296e-12,3.37796e-05,7.18263e+06,52
50,0.367839,5.38126e-12,3.41263e-05,6.34169e+06,52
51,0.378594,3.59993e-12,3.38303e-05,9.39749e+06,52
52,0.359359,7.4884e-12,3.40479e-05,4.54675e+06,52
53,0.364339,5.71413e-12,3.41957e-05,5.98440e+06,52
54,0.3558,7.59506e-12,3.42296e-05,4.50682e+06,52
55,0.35777,6.82327e-12,3.42526e-05,5.01996e+06,52
56,0.364739,5.67281e-12,3.41045e-05,6.01193e+06,52
57,0.365761,5.77542e-12,3.42435e-05,5.92919e+06,52
58,0.370437,4.12259e-12,3.40486e-05,8.25903e+06,52
59,0.371193,4.72303e-12,3.40637e-05,7.21226e+06,52
60,0.36529,5.11249e-12,3.40103e-05,6.65239e+06,52
61,0.372615,4.25777e-12,3.41377e-05,8.01774e+06,52
62,0.359004,6.65046e-12,3.40601e-05,5.12147e+06,52
63,0.373824,4.31507e-12,3.38856e-05,7.85284e+06,52
64,0.367349,5.41255e-12,3.40655e-05,6.29380e+06,52
65,0.362571,5.65556e-12,3.41419e-05,6.03687e+06,52
66,0.361505,6.42299e-12,3.41517e-05,5.31710e+06,52
67,0.35679,7.50697e-12,3.4263e-05,4.56415e+06,52
68,0.354358,8.66728e-12,3.43727e-05,3.96580e+06,52
69,0.361215,6.74521e-12,3.41209e-05,5.05855e+06,52
70,0.371975,4.66785e-12,3.39486e-05,7.27285e+06,52
71,0.367459,4.85555e-12,3.40446e-05,7.01149e+06,52
72,0.358754,6.68642e-12,3.4018e-05,5.08762e+06,52
73,0.367333,5.19743e-12,3.3957e-05,6.53342e+06,52
74,0.353869,7.13262e-12,3.40882e-05,4.77920e+06,52
75,0.364946,6.64651e-12,3.40531e-05,5.12346e+06,52
76,0.365137,4.99332e-12,3.40784e-05,6.82479e+06,52
77,0.354804,7.53705e-12,3.4222e-05,4.54050e+06,52
